Date,Price,Open,High,Low,Vol.,Change %
5/17/2021,273.8,274,274,271,174.43K,-0.07%
5/14/2021,274,274,274.2,271.2,200.48K,-0.07%
5/12/2021,274.2,274.8,274.8,272.2,77.86K,-0.22%
5/11/2021,274.8,272,274.8,271.8,107.01K,0.96%
5/10/2021,272.2,273.6,274.2,272,77.81K,-0.58%
5/7/2021,273.8,273,273.8,271.2,87.86K,1.33%
5/6/2021,270.2,272.6,273.8,270.2,135.22K,-0.88%
5/5/2021,272.6,274.6,274.6,272,76.00K,0.07%
5/4/2021,272.4,272.6,274.8,272.4,79.19K,0.00%
5/3/2021,272.4,273,275,272.4,94.39K,-0.15%
4/30/2021,272.8,274.8,275.4,272.8,174.76K,-1.09%
4/29/2021,275.8,273,275.8,271.2,201.16K,1.70%
4/28/2021,271.2,274.6,274.6,271.2,242.78K,0.37%
4/27/2021,270.2,273,275,270.2,247.24K,-1.75%
4/26/2021,275,275,276.4,272.4,118.85K,0.00%
4/23/2021,275,274,275,271,153.15K,0.00%
4/22/2021,275,271.2,275,271.2,133.37K,1.48%
4/21/2021,271,276,277.6,271,214.84K,-2.52%
4/20/2021,278,274.4,278,274,137.06K,1.61%
4/19/2021,273.6,274,276,273.6,83.76K,-0.07%
4/16/2021,273.8,275.2,277.6,273.2,119.90K,-0.44%
4/15/2021,275,278,278,274,116.13K,-1.08%
4/14/2021,278,277.8,278.6,273,156.00K,-0.22%
4/13/2021,278.6,282.2,282.6,275,165.46K,-1.28%
4/12/2021,282.2,281,283,280,119.36K,0.57%
4/8/2021,280.6,283.6,284,280,188.59K,-1.13%
4/7/2021,283.8,276.6,283.8,276.6,256.66K,2.83%
4/6/2021,276,275,276.8,274.8,93.91K,0.51%
4/5/2021,274.6,272.4,276.8,270.8,101.24K,0.96%
3/31/2021,272,276.2,277,272,250.04K,-1.95%
3/30/2021,277.4,270.2,277.4,270.2,135.80K,2.74%
3/29/2021,270,270.2,276,270,228.95K,-0.15%
3/26/2021,270.4,274.6,274.6,270.4,172.81K,-1.53%
3/25/2021,274.6,273,274.6,270.2,262.14K,-1.93%
3/24/2021,280,273.6,280,272.2,285.79K,2.94%
3/23/2021,272,273,279,272,243.90K,-0.22%
3/22/2021,272.6,275.6,280,271.8,253.52K,-2.64%
3/19/2021,280,273.6,280,270,537.42K,2.34%
3/18/2021,273.6,268,274,268,77.90K,2.09%
3/17/2021,268,268.6,272.8,268,410.36K,0.22%
3/16/2021,267.4,269,273.8,267,323.79K,0.00%
3/15/2021,267.4,278,278,266.8,369.11K,-1.33%
3/12/2021,271,273,275.8,270.8,238.44K,-0.44%
3/11/2021,272.2,282,282,271.2,224.68K,-2.09%
3/10/2021,278,278.8,282,275,378.07K,0.29%
3/9/2021,277.2,275.4,279,272,112.39K,0.73%
3/8/2021,275.2,279,280,271,251.99K,-1.36%
3/5/2021,279,277.6,280.8,277.2,163.60K,0.50%
3/4/2021,277.6,281,283,277.2,237.99K,-1.21%
3/3/2021,281,276,281.6,275,230.38K,1.81%
3/2/2021,276,282,284,275,252.86K,0.73%
3/1/2021,274,278,286.4,274,228.89K,1.11%
2/26/2021,271,275,278,270.4,737.99K,-1.45%
2/24/2021,275,278.8,279,275,300.14K,-1.29%
2/23/2021,278.6,284.8,289,277.8,253.98K,-2.25%
2/22/2021,285,283,288,283,349.45K,1.06%
2/19/2021,282,285.4,288.8,282,263.81K,-1.26%
2/18/2021,285.6,288.2,289.8,285.6,336.17K,-0.83%
2/17/2021,288,289.4,291.4,288,187.46K,-1.97%
2/16/2021,293.8,289,294,289,44.54K,1.66%
2/15/2021,289,289.2,294,289,110.38K,-0.07%
2/11/2021,289.2,294.8,294.8,289.2,120.27K,-1.90%
2/10/2021,294.8,293,294.8,291.4,127.74K,0.41%
2/9/2021,293.6,291,294.8,290.2,156.58K,0.89%
2/8/2021,291,293,295,289,371.38K,-0.95%
2/5/2021,293.8,288,293.8,285,440.10K,2.01%
2/4/2021,288,284,288,281.6,160.28K,1.41%
2/3/2021,284,284.8,284.8,279,404.16K,-0.28%
2/2/2021,284.8,275,284.8,275,222.01K,2.89%
2/1/2021,276.8,268,278,268,366.57K,6.05%
1/29/2021,261,280,282.8,261,984.72K,-6.79%
1/28/2021,280,280,286,280,185.78K,0.00%
1/27/2021,280,281.6,282,280,267.80K,-0.71%
1/26/2021,282,284,285,282,141.21K,-0.70%
1/25/2021,284,285,290,284,212.66K,-0.35%
1/22/2021,285,288,289.8,282.8,341.71K,-0.35%
1/21/2021,286,293.8,293.8,286,211.60K,-2.65%
1/20/2021,293.8,290.4,293.8,288,209.15K,1.31%
1/19/2021,290,291.2,293.8,290,386.30K,-2.36%
1/18/2021,297,297,297,293,232.29K,-0.07%
1/15/2021,297.2,292,298.8,290.2,124.32K,2.41%
1/14/2021,290.2,298.6,299,290.2,517.87K,-2.16%
1/13/2021,296.6,295,299.4,294.4,115.41K,0.54%
1/12/2021,295,298,299.6,295,157.52K,-1.01%
